"Id","LotFrontage","LotArea","OverallQual","OverallCond","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","SalePrice","ExterQualRank","ExterCondRank","BsmtQualRank","BsmtCondRank","HeatingQCRank","CentralAirRank","KitchenQualRank","FirePlaceQuRank","GarageQualRank","GarageCondRank","BsmtFinType1Rank","BsmtFinType2Rank","NeighborhoodRank","HouseAge","RemodeledFlag","PoolFlag"
1,65,8450,7,5,196,706,0,150,856,856,854,0,1710,1,2,1,3,8,2,548,0,61,0,0,0,0,0,208500,2,3,2,3,1,2,2,3,3,3,1,6,17,1998,0,0
2,80,9600,6,8,0,978,0,284,1262,1262,0,0,1262,0,2,0,3,6,2,460,298,0,0,0,0,0,0,181500,3,3,2,3,1,2,3,3,3,3,2,6,21,1971,0,0
3,68,11250,7,5,162,486,0,434,920,920,866,0,1786,1,2,1,3,6,2,608,0,42,0,0,0,0,0,223500,2,3,2,3,1,2,2,3,3,3,1,6,17,1997,1,0
4,60,9550,7,5,0,216,0,540,756,961,756,0,1717,1,1,0,3,7,3,642,0,35,272,0,0,0,0,140000,3,3,3,2,2,2,2,2,3,3,2,6,18,1965,1,0
5,84,14260,8,5,350,655,0,490,1145,1145,1053,0,2198,1,2,1,4,9,3,836,192,84,0,0,0,0,0,250000,2,3,2,3,1,2,2,3,3,3,1,6,25,1995,0,0
6,85,14115,5,5,0,732,0,64,796,796,566,0,1362,1,1,1,1,5,2,480,40,30,0,320,0,0,700,143000,3,3,2,3,1,2,3,3,3,3,1,6,12,1990,1,0
7,75,10084,8,5,186,1369,0,317,1686,1694,0,0,1694,1,2,0,3,7,2,636,255,57,0,0,0,0,0,307000,2,3,1,3,1,2,2,2,3,3,1,6,20,2000,1,0
8,85,10382,7,6,240,859,32,216,1107,1107,983,0,2090,1,2,1,3,7,2,484,235,204,228,0,0,0,350,200000,3,3,2,3,1,2,3,3,3,3,2,3,14,1968,0,0
9,51,6120,7,5,0,0,0,952,952,1022,752,0,1774,0,2,0,2,8,2,468,90,0,205,0,0,0,0,129900,3,3,3,3,2,2,3,3,4,3,6,6,6,1945,1,0
10,50,7420,5,6,0,851,0,140,991,1077,0,0,1077,1,1,0,2,5,1,205,0,4,0,0,0,0,0,118000,3,3,3,3,1,2,3,3,2,3,1,6,4,1945,1,0
